KOMP	Komplett Bank	12,68	-0,16%	12,64	12,68	14:32	2,16	75	2 334,64
KOA	Kongsberg Automotive	6,17	0,33%	6,15	6,17	14:41	5,51	409	2 763,50
KOG	Kongsberg Gruppen	145,40	1,61%	145,10	145,40	14:50	12,98	468	26 168,12
KVAER	Kværner	11,09	-0,36%	11,09	11,12	14:39	2,94	258	2 971,08
LAVO-ME	Lavo.tv	0,06	-1,67%	0,05	0,06	14:47	0,19	47	8,93
LSG	Lerøy Seafood Group	58,78	-0,78%	58,78	58,80	14:50	37,11	1826	35 002,07
LIFE-ME	Lifecare	3,64	-2,15%	3,32	3,64	14:27	0,02	7	294,57
LSTSB-ME	Lillestrøm Sparebank	120,00	-	121,00	123,00	18 des	0,00	0	120,00
MGN	Magnora	7,45	4,20%	7,05	7,40	10:02	0,01	5	391,76
MSEIS	Magseis Fairfield	5,98	-5,38%	5,92	6,00	14:42	3,93	218	1 107,32
MEDI	Medistim	193,00	0,00%	192,00	193,00	14:50	0,60	44	3 510,45
MELG	Melhus Sparebank	141,00	-	140,00	141,00	02 jan	0,00	0	390,56
MOWI	Mowi	230,00	0,22%	229,90	230,00	14:50	94,54	1915	118 935,55
MPCC	MPC Container Ships	20,20	0,50%	20,10	20,20	14:47	0,57	32	1 694,82
MULTI	Multiconsult	69,00	-1,43%	68,00	69,00	14:47	0,03	12	1 850,11
NAPA	Napatech	4,56	0,22%	4,56	4,58	14:43	0,42	44	378,74
NATTO	NattoPharma	7,80	-1,27%	7,70	7,90	12:01	0,13	8	141,75
NAVA	Navamedic	18,45	-5,14%	18,65	19,30	14:34	0,04	12	218,96
NKR	Nekkar	2,15	3,37%	2,15	2,18	14:28	0,39	36	227,07
NEL	NEL	8,64	-3,14%	8,63	8,64	14:50	96,05	2822	10 558,92
NEXT	NEXT Biometrics Group	3,65	-3,69%	3,53	3,65	14:40	0,64	87	156,70
NISB-ME	Nidaros Sparebank	112,00	-	111,00	115,00	27 des	0,00	0	125,34
NORBIT	NORBIT	20,00	-1,96%	20,00	20,15	14:29	0,33	18	1 135,74
NOM	Nordic Mining	2,50	5,49%	2,49	2,50	14:45	2,76	262	421,98
NANO	Nordic Nanovector	32,20	-0,43%	32,06	32,24	14:50	12,79	583	2 129,82
NOD	Nordic Semiconductor	56,50	0,00%	56,40	56,50	14:50	5,48	271	9 924,89
NHY	Norsk Hydro	33,02	-1,17%	33,00	33,02	14:50	65,04	2108	67 613,36
NSKOG	Norske Skog	43,59	-0,93%	43,61	44,00	14:46	1,48	101	3 596,18
NORTH	North Energy	1,46	-8,75%	1,46	1,52	14:35	0,10	36	171,19
NODL	Northern Drilling	20,90	-2,56%	20,85	21,00	14:43	8,14	333	2 247,92
NRS	Norway Royal Salmon	250,60	3,04%	250,40	250,80	14:49	9,03	384	10 883,90
NAS	Norwegian Air Shuttle	40,06	-2,15%	40,01	40,05	14:49	65,98	2958	6 552,09
NOR	Norwegian Energy Company	228,50	1,33%	228,00	229,00	14:45	1,90	83	5 609,45
NOFI	Norwegian Finans Holding	95,35	-1,70%	95,30	95,45	14:44	4,56	233	17 801,35
NPRO	Norwegian Property	13,90	1,09%	13,75	13,85	13:54	0,21	24	6 861,40
NRC	NRC Group	53,90	-1,64%	53,90	54,00	14:50	3,62	238	2 911,85
NTS	NTS	63,00	-0,79%	61,50	63,00	11:01	0,08	10	4 583,62
OBSERV	Observe Medical	10,50	-4,55%	10,50	10,99	13:58	0,20	24	158,21
OCY	Ocean Yield	48,95	0,72%	48,90	48,95	14:49	11,24	515	8 570,40
OTS	Oceanteam	5,16	-2,27%	5,00	5,46	13:42	0,16	24	176,52
ODL	Odfjell Drilling	31,80	1,47%	31,80	31,88	14:24	4,21	243	7 529,71
ODF	Odfjell ser. A	26,60	0,00%	26,80	27,30	13:59	0,17	14	1 596,54
ODFB	Odfjell ser. B	26,40	0,00%	26,00	26,80	10:01	0,08	5	495,16
OKEA	OKEA	18,72	6,73%	18,60	18,72	14:50	1,42	78	1 910,64
OET	Okeanis Eco Tankers	107,00	0,00%	107,00	108,00	14:41	14,21	210	3 503,16
OLT	Olav Thon Eiendomsselskap	166,00	-0,95%	166,00	166,80	14:18	0,93	28	17 201,45
ORK	Orkla	89,82	-0,16%	89,78	89,82	14:48	33,38	1613	89 847,47
OTELLO	Otello Corporation	16,36	0,37%	16,32	16,40	11:22	0,06	6	2 256,57
PEN	Panoro Energy	22,45	0,00%	22,35	22,45	14:42	6,07	282	1 540,83
PARB	Pareto Bank	38,60	-0,26%	38,70	38,90	14:15	9,96	57	2 696,28
PCIB	PCI Biotech Holding	77,10	-4,70%	77,10	77,50	14:45	13,05	466	2 873,20
PSE	Petrolia	3,00	-	2,66	2,98	09:00	0,00	2	177,40
PNOR	PetroNor E&P Limited	0,99	-2,61%	0,99	1,00	14:44	0,50	58	962,43
PGS	PGS	17,30	-1,73%	17,29	17,32	14:50	21,01	1558	5 855,71
PHLY	Philly Shipyard	42,60	-1,39%	41,50	42,50	13:15	0,03	5	515,80
PHO	Photocure	84,90	-5,25%	84,80	85,00	14:49	21,50	746	1 849,10
PPG PREF	Pioneer Property Group	101,00	-0,98%	100,00	101,00	14:17	0,15	8	491,72
PLCS	Polarcus	1,33	0,91%	1,32	1,33	14:25	0,49	48	683,34
POL	Polaris Media	38,60	-2,03%	38,20	39,60	11:38	0,05	10	1 882,27
PLT	poLight	40,80	-5,12%	40,60	40,80	14:23	0,94	66	331,16
PRS	Prosafe	2,23	1,30%	2,19	2,23	14:39	2,77	218	182,43
PROTCT	Protector Forsikring	53,50	1,52%	53,50	53,70	14:01	1,22	70	4 374,26
QFR	Q-Free	6,50	-	6,60	6,75	02 jan	0,00	0	579,95
QEC	Questerre Energy Corporation	1,44	-3,09%	1,44	1,45	14:47	3,60	259	617,90
RAKP	RAK Petroleum	11,05	-3,07%	10,35	11,30	14:49	0,14	17	2 148,65
REACH	Reach Subsea	1,47	-7,57%	1,47	1,50	14:49	0,84	24	210,29
REC	REC Silicon	2,63	-2,95%	2,63	2,63	14:50	9,51	661	736,49
RIVER-ME	River iGaming	16,00	-	14,00	16,00	27 des	0,00	0	304,27
ROM	RomReal	2,48	6,90%	1,91	2,48	09:58	0,02	4	102,47
SDSD	S.D. Standard Drilling	1,30	-3,36%	1,30	1,32	14:48	0,94	77	745,95
SAGA	Saga Tankers	1,18	-1,67%	1,16	1,18	14:32	0,03	15	314,06
SALM	SalMar	452,00	-0,44%	452,00	452,30	14:49	33,86	1173	51 041,13
SALMON	Salmones Camanchaca	71,80	2,28%	71,00	71,80	14:20	0,02	4	4 738,80
SADG	Sandnes Sparebank	67,00	0,00%	66,50	67,00	12:16	0,07	10	1 539,41
SAS NOK	SAS AB	14,35	-2,84%	14,32	14,33	14:27	1,98	127	5 490,06
SATS	SATS	22,78	0,11%	22,78	22,80	14:44	0,82	110	3 871,75
SBANK	Sbanken	75,00	-0,27%	74,90	75,00	14:38	4,20	216	8 015,20
SSHIP	Scanship Holding	30,10	-2,90%	29,90	30,10	14:50	13,06	547	3 207,56
SSO	Scatec Solar	122,30	-0,89%	122,20	122,30	14:49	35,35	1072	15 303,24
SCHA	Schibsted ser. A	271,50	0,07%	271,40	271,60	14:48	15,62	1123	28 450,58
SCHB	Schibsted ser. B	258,20	0,08%	258,00	258,60	14:48	5,70	445	33 406,48
SBX	SeaBird Exploration	0,56	-3,28%	0,56	0,56	14:27	2,73	204	302,34
SDRL	Seadrill	22,32	-0,80%	22,20	22,34	14:47	43,93	1567	2 231,65
SSG	Self Storage Group	28,00	1,08%	27,80	28,00	14:48	0,46	33	2 313,28
SBO	Selvaag Bolig	70,90	-3,67%	70,60	70,90	14:43	4,08	188	6 623,57
SHLF	Shelf Drilling	19,75	3,67%	19,65	19,75	14:38	7,66	311	2 698,70
SIOFF	Siem Offshore	1,22	0,00%	1,22	1,47	12:29	0,01	1	1 140,38
SKUE	Skue Sparebank	170,00	0,00%	170,00	171,00	13:46	0,02	4	319,77
SOFTOX-ME	SoftOx Solutions	29,60	-4,52%	27,20	28,80	14:35	0,36	17	229,43
SOGN	Sogn Sparebank	107,00	0,00%	105,00	107,00	14:49	0,01	3	67,68
SOLON	Solon Eiendom	39,20	-1,51%	39,20	39,50	11:58	0,21	25	2 739,17
SOFF	Solstad Offshore	1,00	0,10%	0,99	1,00	14:39	0,40	115	291,41
SBVG	SpareBank 1 BV	39,40	-0,25%	39,40	39,50	14:37	0,41	10	2 482,50
NONG	SpareBank 1 Nord-Norge	79,00	0,38%	78,90	79,00	14:39	6,20	136	7 931,44
SNOR	SpareBank 1 Nordvest	115,00	0,00%	112,00	115,00	09:00	0,06	2	256,51
RING	SpareBank 1 Ringerike Hadeland	226,00	0,00%	226,00	230,00	11:09	0,00	1	3 536,99
MING	SpareBank 1 SMN	102,60	0,00%	102,60	102,80	14:50	7,80	328	13 321,15
SRBANK	SpareBank 1 SR-Bank	100,60	-1,18%	100,60	100,70	14:36	7,91	355	25 719,37
SOAG	SpareBank 1 Østfold Akershus	236,00	-	236,00	240,00	02 jan	0,00	0	2 923,60
SPOL	SpareBank 1 Østlandet	94,10	0,53%	94,10	94,20	14:39	2,02	88	10 899,58
MORG	Sparebanken Møre	318,00	0,00%	317,00	318,00	14:18	1,31	17	3 128,20
SOR	Sparebanken Sør	110,00	-0,90%	109,00	110,00	14:44	0,47	5	1 718,16
SBTE	Sparebanken Telemark	130,00	-	126,00	128,00	02 jan	0,00	0	1 416,82
SVEG	Sparebanken Vest	65,40	1,24%	65,20	65,40	14:50	2,32	119	7 018,64
SPOG	Sparebanken Øst	56,00	-0,71%	56,00	56,60	14:30	0,13	8	1 160,95
SBLK	Star Bulk Carriers	98,20	-3,25%	98,40	98,80	12:08	0,59	14	8 905,41
SNI	Stolt-Nielsen	118,00	0,85%	117,60	118,00	14:50	2,01	114	6 315,81
STB	Storebrand	69,66	-0,34%	69,62	69,66	14:49	25,27	1063	32 522,22
STORM	Storm Real Estate	3,60	0,00%	3,10	3,70	09:17	0,00	1	31,80
STRONG	StrongPoint	11,95	-	11,80	11,95	02 jan	0,00	0	527,88
SUBC	Subsea 7	107,35	1,37%	107,35	107,40	14:50	43,56	1638	32 074,80
SUNSB-ME	Sunndal Sparebank	114,00	-	113,00	115,00	09:00	0,00	1	154,15
SUSB-ME	Surnadal Sparebank	112,00	-	110,00	112,00	14:28	0,11	3	225,05
TEONE-ME	TargetEveryOne	1,18	-5,24%	1,17	1,25	14:06	0,71	44	140,80
TRVX	Targovax	9,00	-3,23%	9,00	9,09	14:42	8,57	501	570,45
TEAM	Team Tankers International	5,40	-	5,45	5,75	10:58	0,01	1	1 097,57
TECH	Techstep	3,25	0,93%	3,22	3,25	14:50	0,05	12	529,08
TEL	Telenor	158,60	0,60%	158,55	158,60	14:49	85,43	2007	225 634,36
TGS	TGS-NOPEC Geophysical Company	267,80	1,63%	267,70	267,90	14:50	49,35	2107	31 376,70
SSC	The Scottish Salmon Company	28,25	0,00%	28,25	28,30	14:03	1,27	16	5 481,29
THIN	Thin Film Electronics	2,35	-0,21%	2,33	2,35	14:49	0,56	123	137,69
TIETOO	TietoEVRY	273,80	0,07%	273,80	274,00	14:40	1,41	62	32 377,82
TOM	Tomra Systems	284,80	-1,04%	284,60	284,80	14:50	29,38	991	42 013,72
TOTG	Totens Sparebank	143,00	0,70%	143,00	145,00	11:25	0,11	4	875,81
TRE	Treasure	13,30	-2,56%	13,25	13,55	13:05	0,04	4	2 890,56
TYSB-ME	Tysnes Sparebank	121,00	-	117,00	121,00	09:00	0,00	1	183,57
ULTIMO	Ultimovacs	46,10	10,29%	46,10	46,70	14:49	4,93	312	1 284,36
VEI	Veidekke	120,50	0,58%	120,50	120,70	14:49	2,93	192	16 262,23
VISTIN	Vistin Pharma	10,10	-3,81%	10,00	10,25	14:19	0,49	29	447,88
VVL	Voss Veksel- og Landmandsbank	154,00	-1,28%	154,00	156,00	11:53	0,03	3	339,41
WALWIL	Wallenius Wilhelmsen	26,88	11,54%	26,86	26,98	14:49	19,25	1258	11 351,56
WSTEP	Webstep	24,00	0,00%	24,00	24,60	13:51	0,12	9	640,16
WWI	Wilh. Wilhelmsen Holding ser. A	176,50	4,13%	171,00	176,50	14:25	0,25	23	6 001,00
WWIB	Wilh. Wilhelmsen Holding ser. B	173,50	-0,57%	171,50	173,50	14:25	0,18	12	1 835,63
WILS	Wilson	21,00	-	21,00	21,40	02 jan	0,00	0	921,06
WRE-ME	WR Entertainment	0,75	-	-	-	18 jun	0,00	0	1,30
XXL	XXL	14,26	-15,82%	14,26	14,30	14:49	38,38	2504	2 363,78
YAR	Yara International	355,90	-1,49%	355,80	356,00	14:50	129,44	3369	96 463,36
ZAL	Zalaris	26,00	-3,70%	25,30	26,00	14:01	0,04	9	508,78
ZENA-ME	Zenith Energy	0,24	8,26%	0,23	0,24	14:47	1,07	148	106,56
ZWIPE-ME	Zwipe	5,70	0,88%	5,65	5,70	14:44	0,16	46	151,56
